Full Stack Data Discovery Engineer	2026-02-02	https://jobright.ai/jobs/info/698191f649964d25b5e4ab45?utm_source=1100&utm_campaign=Software Engineering	Remote	"Multi Location
Denver, CO
Boston, MA
USA - Colorado - Denver, Denver, CO, US
USA - Massachusetts - Boston, Boston, MA, US
USA - North Carolina - Charlotte, Charlotte, NC, US"	Apryse	$90000-$138000 /yr	251-500	Document Management, Software	"1. Bachelor's degree in Computer Science, Engineering, Library Science, Information Systems, Data Management, or a related field
2. 1-5 years of proven experience as a full-stack developer and data engineer
3. Back-end: Python, SQL, Java and Node.js
4. Front-end: Modern JS/TS + React, component libraries, auth patterns, state mgmt.
5. Data & search: schema design, dedup/near‑dup logic, Elasticsearch/OpenSearch; building usable search/triage UIs
..."	not sure	
Software Engineer, Collision Avoidance (Starshield)	2026-02-02	https://jobright.ai/jobs/info/698190877f40342e15dab89d?utm_source=1100&utm_campaign=Software Engineering	On Site	Hawthorne, CA	SpaceX	$120000-$170000 /yr	10000+	Aerospace, Manufacturing	"1. Bachelor’s degree in computer science, engineering, math, or science discipline; or 3+ years of professional experience in software development in lieu of a degree
2. +1 years of professional experience in software development
3. Note that an active clearance may provide the opportunity for you to work on sensitive SpaceX missions; if so, you will be subject to pre-employment drug and random drug and alcohol testing
4. Must be willing to work extended hours and weekends as needed
5. To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. § 1157, or (iv) Asylee under 8 U.S.C. § 1158, or be eligible to obtain the required authorizations from the U.S. Department of State."	no	
Network Cabling Technician (Active Secret Clearance)	2026-02-02	https://jobright.ai/jobs/info/69799dc2d7df290257fc0e47?utm_source=1100&utm_campaign=Software Engineering	On Site	Boston, MA	Akima	$72K-$120K /yr	5001-10000	Construction, Consulting	"1. Active Secret Level Clearance.
2. Experience working with LAN cable replacement and troubleshooting.
3. COMPTIA Security+CE (IAT-Level II) certification or COMPTIA NET+ Certification.
4. Great attitude and strong communication skills."	no	
Software Engineer I	2026-02-02	https://jobright.ai/jobs/info/69818ea8abff4c399aa0af7c?utm_source=1100&utm_campaign=Software Engineering	On Site	San Jose, CA	Cadence	$88,900-$165,100 /yr	10000+	Aerospace, Electronic Design Automation (EDA)	"1. C/C++ software development experience in Linux environment
2. Good communication skills
3. BS in Computer Science, Computer Engineering, or Electrical Engineering"	not sure	
Software Engineer II - Infra	2026-02-02	https://jobright.ai/jobs/info/69656c782cbf4e44756ef4b7?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
San Jose, CA
Draper, UT"	BILL	$108K-$152K /yr	1001-5000	Apps, Billing		no	
Software Engineer Entry Level	2026-02-02	https://jobright.ai/jobs/info/697c2d681423772304ec9249?utm_source=1100&utm_campaign=Software Engineering	Hybrid	Pittsfield, MA	General Dynamics Mission Systems	$86K-$95K /yr	10000+	Aerospace, Business Information Systems	"1. Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field.
2. Department of Defense Secret security clearance is obtainable within a reasonable amount of time after hire.
3. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information.
4. Due to the nature of work performed within our facilities, U.S. citizenship is required."	no	
Research Scientist Graduate - (Multimodal Interaction and World Model - Pre-Training) - 2026 Start (PhD)	2026-02-02	https://jobright.ai/jobs/info/696574a42cbf4e44756f0466?utm_source=1100&utm_campaign=Software Engineering	On Site	San Jose, CA	ByteDance	$187040-$438000 /yr	10000+	Content, Data Mining	"1. Individuals who are completing or have recently completed a PhD degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline
2. Publications in venues such as CVPR, ECCV, ICCV, NeurIPS, ICLR, ICML, or other conferences in AI and ML
3. Strong research background in at least one of the following: reinforcement learning, multimodal learning, video understanding, or vision-language modeling"	not sure	yes
Engineer II Data	2026-02-02	https://jobright.ai/jobs/info/6965b3882cbf4e44756f6035?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
New York, NY
95 Morton St, New York, NY, 10014, US"	Fanatics	$188697.60-$188697.60 /yr	10000+	eSports, Manufacturing	"1. Bachelor’s Degree in Informatics, Data Science, or closely related
2. 1 year experience in job offered or 1 year in data engineering
3. 1 year of experience using Python
4. 1 year of experience using Airflow
5. 1 year of experience using Google Cloud
..."	not sure	
Professional, Jr. Quality Engineer	2026-02-02	https://jobright.ai/jobs/info/696591575ad3a93f8230ea3b?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
Schenectady, NY
Rochester, NY"	MVP Health Care	$51K-$68K /yr	1001-5000	Health Care, Health Insurance	"1. Bachelor's degree in Computer Science or related field/relevant work experience required.
2. 1 year experience working in an agile environment.
3. Ability to problem solve and implement solutions.
4. Command of the software development lifecycle (SDLC).
5. Understanding of testing methodologies and techniques.
..."	not sure	
SAP Basis Technical Analyst	2026-02-02	https://jobright.ai/jobs/info/697c3b621136d179eef0062f?utm_source=1100&utm_campaign=Software Engineering	Hybrid	St. Petersburg, FL	Accenture	$24-$63 /hr	10000+	Business Information Systems, Construction	"1. Minimum of 1 year of experience in Production SAP environment
2. Minimum of 1 year of experience in a single area: SAP Basis R/3, SAP Basis NetWeaver, SAP Basis BW, SAP Basis XI/PI, SAP Basis SCM, SAP Portals, SAP ECC 6
3. Minimum of 1 year of experience RDBMS Management
4. Minimum of 1 year of Operating System / knowledge of system commands and structures
5. Bachelor's Degree or equivalent (minimum 12 years' work experience). If Associate's Degree must have equivalent (minimum 6 years' work experience.)"	no	
Software Development Engineer - 2026 (US)	2026-02-02	https://jobright.ai/jobs/info/6981141aabff4c399a9fe2ef?utm_source=1100&utm_campaign=Software Engineering	On Site	Seattle, Washington, USA	Amazon	$110500-$160000 /yr	10000+	Artificial Intelligence (AI), Delivery	"1. Are 18 years of age or older
2. Experience with at least one general-purpose programming language such as Java, Python, C++, C#, Go, Rust, or TypeScript
3. Experience with data structure implementation, basic algorithm development, and/or object-oriented design principles
4. Currently enrolled in a Bachelor's degree or above in Computer Science, Computer Engineering, Data Science, Information Systems, or related STEM fields OR completed a Bachelor's or Graduate degree in specified fields"	not sure	
Software Engineer	2026-02-02	https://jobright.ai/jobs/info/698137bf7f40342e15da2954?utm_source=1100&utm_campaign=Software Engineering	Hybrid	New York, NY	Harry's	$110000-$130000 /yr	251-500	Consumer Goods, E-Commerce	"1. Strong JavaScript/TypeScript fundamentals and familiarity with React or similar component-based frameworks
2. Genuinely curious—you actively seek out learning opportunities and stay up to date on new developments in your field
3. Curious about how e-commerce works—you're interested in why conversion rates, page speed, and checkout flows matter, not just how to build them
4. Comfortable using AI tools (Copilot, ChatGPT, Claude, etc.) in your development workflow—and you know how to validate their output
5. Take ownership of your work: you dive in without being asked twice and deliver on your commitments
..."	not sure	
DevOps Engineer I	2026-02-02	https://jobright.ai/jobs/info/698164f649964d25b5e45a4e?utm_source=1100&utm_campaign=Software Engineering	Hybrid	Seattle, WA	Spring Health	$1000000-$114000 /yr	1001-5000	Artificial Intelligence (AI), Health Care	"1. Have worked on previous devops teams or worked in the capacity of devops engineer
2. Have worked with infrastructure as code technologies (terraform, cloudformation)
3. Have some major cloud provider experience (AWS, GCP, or Azure)
4. Experience in scripting languages (bash, python, or ruby preferred)
5. You've produced technical documentation about upcoming changes, rationale, and process for migration
..."	not sure	
Software Engineer - Factory Systems	2026-02-02	https://jobright.ai/jobs/info/69817fcc49964d25b5e47da8?utm_source=1100&utm_campaign=Software Engineering	On Site	Costa Mesa, CA	Anduril Industries	$129K-$193K /yr	5001-10000	Aerospace, Artificial Intelligence (AI)	"1. BS, MS, or equivalent experience in Computer Science, Engineering, or related technical discipline.
2. Strong programming skills in at least one language (e.g., Python, Java, Rust, Go, TypeScript).
3. Understanding of data structures, algorithms, and software engineering fundamentals.
4. Ability to break down problems and articulate solutions clearly.
5. Passion for building software, positive learning attitude, and ability to work in a team."	not sure	
